sample,feature,shap
43,ST slope,-0.09030663109962195
44,age,0.015605952783391405
44,sex,-0.022852946649179137
44,chest pain type,0.08136690371113278
44,resting bp s,0.009823514861578963
44,cholesterol,0.026677868824011828
44,fasting blood sugar,-0.016699313034789415
44,resting ecg,-0.007842713107928098
44,max heart rate,0.10794548191652835
44,exercise angina,0.05564457455853883
44,oldpeak,0.034851704208834655
44,ST slope,0.1079078636391984
45,age,0.011641769293258223
45,sex,0.007679615087087545
45,chest pain type,0.10268467954511315
45,resting bp s,-0.000668994438750501
45,cholesterol,-0.00314552805370138
45,fasting blood sugar,-0.0156875912535128
45,resting ecg,0.007849830153376562
45,max heart rate,0.015020150857098482
45,exercise angina,0.052158223183462936
45,oldpeak,0.018878267120584557
45,ST slope,0.19815376910823698
46,age,0.03458375950034011
46,sex,0.002904700686426567
46,chest pain type,-0.10890067696439253
46,resting bp s,-0.00400013493177241
46,cholesterol,0.03337509670410471
46,fasting blood sugar,-0.02263608632351895
46,resting ecg,0.007786860979377515
46,max heart rate,-0.01710206442742789
46,exercise angina,-0.025235309012434266
46,oldpeak,-0.013687730160830533
46,ST slope,0.12088483279668233
47,age,0.007033332740794182
47,sex,0.012556056392346518
47,chest pain type,-0.019681326752870792
47,resting bp s,-0.019985490754006435
47,cholesterol,0.01702247889360105
47,fasting blood sugar,-0.02414475481733681
47,resting ecg,-0.005473667159339916
47,max heart rate,0.007837655714728962
47,exercise angina,0.08195583487320893
47,oldpeak,0.08864338814125776
47,ST slope,0.15554842063065583
48,age,0.021462920085159563
48,sex,-0.0402253450272778
48,chest pain type,-0.0042262390376478646
48,resting bp s,0.024207086590378762
48,cholesterol,-0.03237535326243575
48,fasting blood sugar,-0.04901389587161052
48,resting ecg,-0.031342374722146224
48,max heart rate,-0.009874877737595536
48,exercise angina,-0.04730353065990458
48,oldpeak,-0.06935883585355447
48,ST slope,-0.14212653073214626
49,age,0.036248255684777714
49,sex,-0.025511299174155806
49,chest pain type,-0.0020189793281524698
49,resting bp s,-0.10188362644550814
49,cholesterol,-0.00023671491499491546
49,fasting blood sugar,-0.03170013629618788
49,resting ecg,-0.04245434155536604
49,max heart rate,-0.037549143145020746
49,exercise angina,-0.03546537443736745
49,oldpeak,-0.0520567942762342
49,ST slope,-0.12058002423991925
50,age,-0.04459570060283199
50,sex,0.007789318702145273
50,chest pain type,-0.035059252893178613
50,resting bp s,-0.048731598608325696
50,cholesterol,-0.05351694150231294
50,fasting blood sugar,-0.03646959633129704
50,resting ecg,-0.008815099455402499
50,max heart rate,-0.03223701418774846
50,exercise angina,-0.04130572283082074
50,oldpeak,-0.043477544017418844
50,ST slope,0.12286192397170506
51,age,0.02679616915037826
51,sex,-0.021739848686705015
51,chest pain type,-0.027209659491030984
51,resting bp s,0.022160906646683694
51,cholesterol,-0.05362127286079798
51,fasting blood sugar,-0.030586749298715632
51,resting ecg,-0.03290553766922689
51,max heart rate,4.806513854244925e-06
51,exercise angina,-0.029337370669780604
51,oldpeak,-0.030816410627408433
51,ST slope,-0.11887197618219414
52,age,0.018564785078668065
52,sex,0.008035795157649062
52,chest pain type,0.11144658255013869
52,resting bp s,-0.011056124819221646
52,cholesterol,0.025804471673406028
52,fasting blood sugar,-0.018007726845876874
52,resting ecg,-0.007614042499188847
52,max heart rate,0.03880163105141797
52,exercise angina,0.05691723491049018
52,oldpeak,0.02330965263828933
52,ST slope,0.13854645011928915
53,age,0.02841164463234692
53,sex,-0.028527821773988826
53,chest pain type,0.00789938645289175
53,resting bp s,-0.040641628227806356
53,cholesterol,0.01697971002191266
53,fasting blood sugar,-0.025553632589106284
53,resting ecg,0.016633166209788587
53,max heart rate,-0.07720112313175223
53,exercise angina,-0.028595034415647473
53,oldpeak,0.0006841346387669681
53,ST slope,0.11978818633773443
54,age,0.0035400717697423377
54,sex,0.010086347275133797
54,chest pain type,0.12281742191833561
54,resting bp s,0.014342494835261782
54,cholesterol,0.031172710013696734
54,fasting blood sugar,0.08038040173408241
54,resting ecg,-0.008201209073696349
54,max heart rate,0.03239017729319834
54,exercise angina,0.06664298475490744
54,oldpeak,0.02297438634800461
54,ST slope,-0.04516583771456618
55,age,0.03224263140326651
55,sex,0.003962957151819773
55,chest pain type,-0.0380246132405891
55,resting bp s,0.0474779285839829
55,cholesterol,0.018402231612734465
55,fasting blood sugar,-0.03141097323486157
55,resting ecg,-0.04343784167467054
55,max heart rate,-0.008469999456856612
55,exercise angina,-0.03395946244061636
55,oldpeak,-0.04981841796508541
55,ST slope,-0.114593207663736
56,age,0.019938527686641217
56,sex,0.015096066939984004
56,chest pain type,0.12764968404988283
56,resting bp s,-0.013178248174646499
56,cholesterol,0.00656686693695258
56,fasting blood sugar,-0.026270494593720925
56,resting ecg,0.057700955755962395
56,max heart rate,0.05536746988959639
56,exercise angina,0.09125003409397246
56,oldpeak,-0.0004627771687962378
56,ST slope,-0.06495806897775257
57,age,0.02922079658796232
57,sex,0.005052813675497568
57,chest pain type,0.0003297255664981159
57,resting bp s,0.11218260485836906
57,cholesterol,0.044338988157499086
57,fasting blood sugar,-0.034586528967016535
57,resting ecg,-0.03331057151763628
57,max heart rate,0.02114030755838406
57,exercise angina,-0.03561385150249792
57,oldpeak,-0.04616586185849172
57,ST slope,-0.11766911864781009
58,age,0.03188601551019382
58,sex,0.007365647721411608
58,chest pain type,0.0033298559878782255
58,resting bp s,0.03589136315691109
58,cholesterol,-0.005458905123564457
58,fasting blood sugar,-0.041202483305919343
58,resting ecg,-0.041129104610173606
58,max heart rate,-0.022559503690003587
58,exercise angina,-0.045001731243307544
58,oldpeak,-0.06998547063627623
58,ST slope,-0.13371786002300795
59,age,0.001856226295612942
