sample,feature,shap
16,ST slope,0.1221171608098515
17,age,0.030303448811959018
17,sex,0.01308119542728125
17,chest pain type,0.11353330008030688
17,resting bp s,0.005224274749682971
17,cholesterol,0.018238509557949832
17,fasting blood sugar,-0.008436384669548465
17,resting ecg,-0.021665611668567536
17,max heart rate,0.018503378120987443
17,exercise angina,0.04562003247996011
17,oldpeak,-0.0017631918010419523
17,ST slope,0.19793453341325
18,age,0.019356545588406784
18,sex,-0.02019776206624673
18,chest pain type,-0.07401137945120498
18,resting bp s,-0.013106513052392906
18,cholesterol,0.01358504338854204
18,fasting blood sugar,-0.016865075137096723
18,resting ecg,-0.06389745365436111
18,max heart rate,0.022605624136891163
18,exercise angina,-0.019032015055433886
18,oldpeak,0.0032511014364501275
18,ST slope,-0.18556526186039687
19,age,-0.0023013025574300516
19,sex,-0.006177235565484854
19,chest pain type,-0.07838640642692796
19,resting bp s,-0.004270837312904616
19,cholesterol,-0.02921643149218705
19,fasting blood sugar,-0.012937459053942274
19,resting ecg,-0.03766916080891557
19,max heart rate,-0.01184503018356599
19,exercise angina,-0.01844387593752746
19,oldpeak,-0.05721062449356668
19,ST slope,-0.2870078292886985
20,age,0.021459790825662385
20,sex,0.03580032859409209
20,chest pain type,-0.00545189468149637
20,resting bp s,0.005709232796479724
20,cholesterol,0.01925735999069353
20,fasting blood sugar,-0.008112637895052741
20,resting ecg,-0.028106898844894496
20,max heart rate,0.03283373110338604
20,exercise angina,0.06341074829344073
20,oldpeak,-0.021226624947379855
20,ST slope,0.18522807935804464
21,age,-0.05686291951697645
21,sex,-0.02333562633577726
21,chest pain type,-0.03940361715107158
21,resting bp s,-0.0043301038619538755
21,cholesterol,-0.031462658676025906
21,fasting blood sugar,-0.011197900545761443
21,resting ecg,-0.06648700836201808
21,max heart rate,0.011711667588229896
21,exercise angina,-0.0256210922664291
21,oldpeak,-0.04620495154720396
21,ST slope,-0.22262439284563582
22,age,0.007558950438482552
22,sex,0.012509822726204933
22,chest pain type,0.01722622323129887
22,resting bp s,-0.016370862504721705
22,cholesterol,0.02951126792301347
22,fasting blood sugar,-0.013929322004927691
22,resting ecg,0.026185558519570305
22,max heart rate,0.012003258404350816
22,exercise angina,0.03470712337482801
22,oldpeak,0.014663602783148136
22,ST slope,0.20006649697810813
23,age,-0.019407561157124678
23,sex,-0.0060758819728533465
23,chest pain type,-0.051964119447981835
23,resting bp s,0.028287073241383215
23,cholesterol,-0.012127912345352017
23,fasting blood sugar,0.02091905748126935
23,resting ecg,0.07009976689118542
23,max heart rate,0.030135354061623577
23,exercise angina,-0.0038799394950449193
23,oldpeak,-0.006950357612435319
23,ST slope,0.18958029495154033
24,age,0.015622790455544468
24,sex,-0.029590167748241573
24,chest pain type,-0.2966435970978657
24,resting bp s,0.03207266038394296
24,cholesterol,-0.0003172286474503355
24,fasting blood sugar,0.003116867389995329
24,resting ecg,0.08448972886383369
24,max heart rate,0.08262050209128105
24,exercise angina,-0.039295972691146604
24,oldpeak,-0.02833996059729693
24,ST slope,0.19312966938449078
